0007-9235	244585
0028-4793	79260
0140-6736	53254
0009-2665	52613
2058-8437	51941
1474-1776	50167
0098-7484	47661
2058-7546	46859
1474-175X	42784
1474-1733	41982
0028-0836	41577
1471-0056	41465
0036-8075	41058
0306-0012	40182
1476-1122	39235
1748-3387	37490
1470-2045	36421
0034-6861	36367
1087-0156	35724
1471-0072	35612
1471-003X	32635
1078-8956	32621
1749-4885	32521
1740-1526	31851
0092-8674	31398
0001-8732	30917
1754-5692	30067
2051-5545	30000
2051-5545	30000
1474-4422	27144
1061-4036	27125
1548-7091	26919
1047-840X	26364
0732-183X	26360
1755-4330	26201
0360-1285	25242
1473-3099	25148
0066-4146	24912
1759-4774	24653
0079-6700	24558
1369-7021	24537
0927-796X	24480
2159-8274	24373
0031-9333	24014
0079-6425	23750
1756-1833	23562
0195-668X	23425
1433-8351	23333
1934-5909	23290
1535-6108	22844
0066-4308	22774
0066-4308	22774
1548-7660	22737
1745-2473	22727
0732-0582	22714
0935-9648	21950
1614-6832	21875
1947-5454	21853
1529-2908	21809
2213-2600	21466
1943-8206	21286
1529-1006	21286
0001-4842	20955
2374-2437	20871
0016-5085	20773
0893-8512	20642
1550-4131	20565
1759-5029	20265
1553-877X	20230
0066-4154	20154
0370-1573	20099
2168-6106	19989
1097-6256	19912
1759-4758	19819
1074-7613	19734
0003-4819	19384
2213-8587	19313
1758-678X	19181
1758-678X	19181
1465-7392	19064
0031-6997	18964
0009-7322	18881
1543-5008	18712
2214-109X	18705
2214-109X	18705
0962-8924	18564
1931-3128	17872
0167-5729	17800
1748-0132	17753
0302-2838	17581
1759-5045	17324
0017-5749	17016
0735-1097	16834
1946-6234	16710
2168-622X	16642
2168-622X	16642
1754-9426	16375
2056-676X	16071
1553-4006	15952
0169-5347	15938
0001-6322	15876
1531-7331	15846
0968-0004	15678
1759-4790	15661
1364-6613	15557
1364-6613	15557
0163-769X	15545
1001-0602	15393
1389-5567	15325
1073-449X	15239
2215-0374	15233
2215-0374	15233
0009-7330	15211
1759-5002	15162
0006-4971	15132
0140-525X	15071
0140-525X	15071
0168-8278	15040
0342-4642	15008
0066-4219	14970
0066-4189	14814
0147-006X	14675
0010-8545	14499
1752-0894	14391
2160-3308	14385
0002-7863	14357
0066-4278	14327
0896-6273	14319
0034-4885	14257
1097-2765	14248
1471-4906	14188
2058-5276	14174
0301-0082	14163
2451-9294	14104
1759-5061	14101
0270-9139	14079
1560-2745	14078
0923-7534	13930
0066-4170	13860
1552-4450	13843
1571-0645	13783
0066-426X	13738
1936-0851	13709
0169-409X	13660
2047-7538	13625
0167-7799	13578
8755-1209	13529
1092-2172	13439
0149-5992	13397
0002-953X	13396
0002-953X	13396
1545-9993	13333
1616-301X	13325
0362-1642	13295
1548-5943	13278
1548-5943	13278
0091-6749	13258
0021-9738	13251
0033-2909	13250
0033-2909	13250
1474-760X	13214
2051-6347	13183
0033-3190	13122
0033-3190	13122
2211-2855	13120
1931-9401	12894
0149-2195	12888
1941-1405	12867
1614-4961	12833
1552-5260	12764
0950-6608	12703
2190-6009	12511
2198-3844	12441
1754-2189	12423
2095-4700	12354
2041-1723	12353
0003-4967	12350
2380-8195	12277
0903-1936	12244
1360-1385	12149
0165-6147	12108
1433-7851	12102
1530-6984	12080
0006-3223	11984
1355-4786	11852
0966-842X	11776
1936-122X	11742
1464-7931	11700
0926-3373	11698
1549-1676	11675
1350-9462	11653
1359-4184	11640
0166-0616	11633
1368-7646	11630
0742-3098	11613
0935-4956	11611
0305-1048	11561
0920-5691	11541
2375-2548	11511
2055-026X	11471
2168-6149	11460
0734-9750	11452
0166-2236	11439
0265-0568	11406
0168-6445	11392
0084-6597	11391
2155-5435	11384
2352-3018	11355
0027-8874	11238
2374-7943	11228
1554-8627	11100
0146-6410	11049
1471-4914	11021
0006-8950	10848
0022-1007	10790
2168-6203	10769
1043-2760	10769
0079-6727	10733
2352-3026	10698
1388-9842	10683
1087-0792	10602
0261-4189	10557
0168-9525	10556
1932-4529	10429
0163-7258	10376
1556-0864	10340
1757-4676	10293
0364-5134	10250
1936-878X	10247
0002-9270	10231
0737-4038	10217
2043-8206	10214
1078-0432	10199
1044-579X	10198
1543-592X	10160
2380-6583	10133
1088-9051	10101
0887-6924	10023
0955-0674	10015
1098-3600	9937
2050-7488	9931
0897-4756	9890
1936-8798	9881
0066-4227	9808
0962-4929	9727
0040-6376	9655
1534-5807	9616
1613-6810	9598
0066-4197	9589
0272-7358	9577
0066-4286	9528
0277-7037	9526
1941-1413	9523
1751-7362	9520
0027-8424	9504
0163-7525	9491
0163-7525	9491
0890-9369	9462
0162-8828	9455
2095-5138	9408
0144-235X	9406
2055-6756	9391
1522-8517	9384
1535-7597	9333
0038-6308	9327
1674-2052	9326
0079-6786	9313
1745-6916	9305
1941-6520	9281
1088-8683	9281
0163-6804	9270
0960-9822	9251
1943-0264	9247
0105-2896	9217
2056-6387	9206
0003-4932	9203
1536-1284	9202
2326-6066	9188
1364-0321	9184
1545-7885	9163
1461-023X	9137
2049-2618	9133
0008-5472	9130
1058-4838	9117
0018-9219	9107
0390-6078	9090
1741-7015	9088
2041-6520	9063
1081-0706	9032
0079-6816	9000
1354-1013	8997
2405-4712	8982
1568-1637	8973
2057-3960	8941
1756-994X	8898
0199-9885	8886
